"","ISO","year","estL","est","estU","predicted","wpp_lb","regionName2","regionIndex2","estN","estNL","estNU"
"1","AFG",2010,1.55440196069572,12.2996685064517,38.7476325552041,1,1147643,"Southern Asia",1,141156,17839,444684
"2","AFG",2011,1.55811175615973,12.3002976100588,38.7357823956048,1,1157518,"Southern Asia",1,142378,18035,448374
"3","AFG",2012,1.55951853280331,12.3026878477416,38.7094135194842,1,1217396,"Southern Asia",1,149772,18986,471247
"4","AFG",2013,1.55465640986682,12.3054139197923,38.6469664728391,1,1248455,"Southern Asia",1,153628,19409,482490
"5","AFG",2014,1.56011839529751,12.3015512692979,38.585333573508,1,1274665,"Southern Asia",1,156804,19886,491834
"6","AFG",2015,1.56561346099742,12.3058467168695,38.5228957503612,1,1315633,"Southern Asia",1,161900,20598,506820
"7","AFG",2016,1.55319611993872,12.3156627244674,38.5063196734312,1,1315746,"Southern Asia",1,162043,20436,506645
"8","AFG",2017,1.54079062508691,12.3128941549464,38.616450185711,1,1332116,"Southern Asia",1,164022,20525,514416
"9","AFG",2018,1.53582343485151,12.3003678338319,38.6407178573963,1,1355895,"Southern Asia",1,166780,20824,523928
"10","AFG",2019,1.54228966959031,12.2936012293804,38.7085953819885,1,1377704,"Southern Asia",1,169369,21248,533290
"11","AFG",2020,1.54486950189596,12.2969066857966,38.7491985101302,1,1402265,"Southern Asia",1,172435,21663,543366
"12","AGO",2010,5.54007952598551,9.3014465717903,14.9703337216359,1,1048894,"Sub-Saharan Africa",2,97562,58110,157023
"13","AGO",2011,5.54418831410371,9.30185511738919,14.9660366041929,1,1074349,"Sub-Saharan Africa",2,99934,59564,160787
"14","AGO",2012,5.54204051077908,9.30563210353689,14.9814748490283,1,1102911,"Sub-Saharan Africa",2,102633,61124,165232
"15","AGO",2013,5.54827859100647,9.30797279988644,14.9953817281308,1,1129971,"Sub-Saharan Africa",2,105177,62694,169443
"16","AGO",2014,5.5480125028781,9.31188054664337,14.9848094813683,1,1156171,"Sub-Saharan Africa",2,107661,64145,173250
